tier,domain,variable,mimic_definition,mimic_source,eicu_table,eicu_field,eicu_selector,units_mimic,units_eicu,unit_transformation,eicu_time_field,window_aggregation,mimic_preprocessing,measured_window_availability_pct,expected_eicu_issue,harmonization_decision,must_verify_before_extraction
A,Circulatory,heart_rate,"Heart rate, bedside monitor",chartevents 220045,vitalPeriodic (primary); nurseCharting (fallback),heartrate,vitalPeriodic.heartrate NOT NULL; fallback nursingchartcelltypevallabel='Heart Rate',bpm,bpm,none,observationoffset (min from unit admit),last non-missing value in the 6-h window (Paper 1 rule),ffill <=1 window; then MIMIC train median; z-score with MIMIC train mean/SD,97.7 (MIMIC 97.9),"vitalPeriodic is a 5-min archived median, not a raw spot reading; MIMIC chartevents is ~hourly nurse-validated. 'Last value in window' therefore has slightly different semantics.","Accept the semantic difference; keep last-in-window. Pre-specified sensitivity: window mean instead of last (Paper 1 script 18 already ran this on MIMIC, so the comparison is symmetric).",Compare within-window SD of vitalPeriodic vs nurseCharting on the demo set to size the archiving effect.
A,Circulatory,sbp,"Systolic BP; arterial line preferred, non-invasive cuff as fallback",chartevents 220050 (art) coalesce 220179 (NIBP),vitalPeriodic (art) + vitalAperiodic (cuff),systemicsystolic / noninvasivesystolic,"COALESCE(vitalPeriodic.systemicsystolic, vitalAperiodic.noninvasivesystolic) at window level",mmHg,mmHg,none,observationoffset,last non-missing value in the 6-h window (Paper 1 rule),ffill <=1 window; then MIMIC train median; z-score with MIMIC train mean/SD,91.6 (MIMIC 95.9),"eICU splits invasive and non-invasive across two tables with independent offsets, so the coalesce must be done after windowing, not row-wise.","Window each source separately, take last-in-window within source, then coalesce arterial over cuff. This reproduces the MIMIC preference order exactly.",Confirm systemicsystolic is arterial-line-only in this database and is not populated from cuff readings at some hospitals.
A,Circulatory,map,"Mean arterial pressure; arterial preferred, cuff fallback",chartevents 220052 (art) coalesce 220181 (NIBP),vitalPeriodic + vitalAperiodic,systemicmean / noninvasivemean,"COALESCE(vitalPeriodic.systemicmean, vitalAperiodic.noninvasivemean)",mmHg,mmHg,none,observationoffset,last non-missing value in the 6-h window (Paper 1 rule),ffill <=1 window; then MIMIC train median; z-score with MIMIC train mean/SD,91.7 (MIMIC 95.6),Same two-table split as SBP.,"Same as sbp: window-then-coalesce, arterial first.",Check that systemicmean is measured rather than derived from SBP/DBP at some sites.
A,Respiratory,resp_rate,Respiratory rate,chartevents 220210,vitalPeriodic (primary); respiratoryCharting (fallback),respiration,vitalPeriodic.respiration,breaths/min,breaths/min,none,observationoffset,last non-missing value in the 6-h window (Paper 1 rule),ffill <=1 window; then MIMIC train median; z-score with MIMIC train mean/SD,90.7 (MIMIC 96.9),"In ventilated patients vitalPeriodic.respiration may be the ventilator set rate rather than the patient's spontaneous rate, and the mix differs by hospital interface.","Use vitalPeriodic.respiration unchanged; this is the same ambiguity MIMIC 220210 has. Do NOT substitute respiratoryCharting vent rate, which would change the variable's meaning.",Tabulate resp_rate distribution split by mech_vent status in eICU vs MIMIC; a large divergence means the variable is not the same construct.
A,Respiratory,spo2,Peripheral oxygen saturation,chartevents 220277,vitalPeriodic,sao2,vitalPeriodic.sao2 (note: field is named sao2 but carries pulse oximetry),%,%,none,observationoffset,last non-missing value in the 6-h window (Paper 1 rule),ffill <=1 window; then MIMIC train median; z-score with MIMIC train mean/SD,95.3 (MIMIC 97.7),Left-skewed; Paper 1 deliberately did not log-transform it.,"Direct map, no transformation.",Confirm no site reports sao2 as a fraction (0-1) rather than a percentage.
A,Systemic,temp_c,Core/body temperature in Celsius; Fahrenheit rows converted,chartevents 223762 (C) coalesce (223761 F - 32)*5/9,vitalPeriodic (primary); nurseCharting (fallback),temperature,"vitalPeriodic.temperature; fallback nurseCharting label='Temperature' with valname IN ('Temperature (C)','Temperature (F)')",degC,degC (vitalPeriodic); C or F in nurseCharting,nurseCharting Fahrenheit rows: (F-32)*5/9. vitalPeriodic already Celsius.,observationoffset / nursingchartoffset,last non-missing value in the 6-h window (Paper 1 rule),ffill <=1 window; then MIMIC train median; z-score with MIMIC train mean/SD,84.2 (MIMIC 93.2),Measurement site (oral/axillary/rectal/bladder) is recorded separately in nurseCharting and is not matched in MIMIC. NOTE: the first audit pass reported 0.0% for nurseCharting because it matched the LABEL against 'temperature (' -- eICU stores label='Temperature' with the unit in valname. Corrected; real coverage is 84.2% of windows.,"vitalPeriodic first, nurseCharting only where vitalPeriodic is empty for the whole stay. Ignore measurement site, as Paper 1 did.",Range-check for F values leaking into the Celsius field (values >45).
A,Haematological,wbc,"White blood cell count, serum/whole blood, laboratory",labevents 51301/51755/51756,lab,labresult,lab.labname = 'WBC x 1000',K/uL,K/uL,none (verify labmeasurenamesystem),labresultoffset (min from unit admit; may be negative),last non-missing value in the 6-h window (Paper 1 rule),ffill <=2 windows; then MIMIC train median; z-score with MIMIC train mean/SD,23.9 (MIMIC 29.4),labresultoffset is the RESULT time; labresultrevisedoffset marks corrected results. Negative offsets are pre-ICU draws.,"Use labresultoffset, drop offset<0 (identical to Paper 1 dropping window_idx<0). Where a result is revised, keep the revised value.",Tabulate labmeasurenamesystem per labname and per hospital; exclude or convert any non-standard unit.
A,Haematological,hemoglobin,"Haemoglobin, serum/whole blood, laboratory",labevents 51222/51640,lab,labresult,lab.labname = 'Hgb',g/dL,g/dL,none (verify labmeasurenamesystem),labresultoffset (min from unit admit; may be negative),last non-missing value in the 6-h window (Paper 1 rule),ffill <=2 windows; then MIMIC train median; z-score with MIMIC train mean/SD,25.0 (MIMIC 29.6),labresultoffset is the RESULT time; labresultrevisedoffset marks corrected results. Negative offsets are pre-ICU draws.,"Use labresultoffset, drop offset<0 (identical to Paper 1 dropping window_idx<0). Where a result is revised, keep the revised value.",Tabulate labmeasurenamesystem per labname and per hospital; exclude or convert any non-standard unit.
A,Haematological,platelet,"Platelet count, serum/whole blood, laboratory",labevents 51265/53189,lab,labresult,lab.labname = 'platelets x 1000',K/uL,K/uL,none (verify labmeasurenamesystem),labresultoffset (min from unit admit; may be negative),last non-missing value in the 6-h window (Paper 1 rule),ffill <=2 windows; then MIMIC train median; z-score with MIMIC train mean/SD,24.1 (MIMIC 29.6),labresultoffset is the RESULT time; labresultrevisedoffset marks corrected results. Negative offsets are pre-ICU draws.,"Use labresultoffset, drop offset<0 (identical to Paper 1 dropping window_idx<0). Where a result is revised, keep the revised value.",Tabulate labmeasurenamesystem per labname and per hospital; exclude or convert any non-standard unit.
A,Renal/metabolic,creatinine,"Serum creatinine, chemistry panel",labevents 50912/52546,lab,labresult,lab.labname = 'creatinine',mg/dL,mg/dL,none (verify labmeasurenamesystem),labresultoffset,last non-missing value in the 6-h window (Paper 1 rule),ffill <=2 windows; then MIMIC train median; z-score with MIMIC train mean/SD,27.3 (MIMIC 32.7),Some sites also report these on a blood-gas panel with a different labname.,"Chemistry labname only, matching MIMIC's chemistry itemids. Blood-gas electrolytes excluded (Paper 1 excluded blood gas entirely).",List all labnames containing the analyte string; confirm nothing else should be unioned in.
