amendment,date,section,trigger,state_assignments_visible_at_the_time,outcome_results_visible_at_the_time,decision,classification
A,2026-08-23,"5.5, 5.6",eICU schema inspection before cohort lock: icd9code found to be a deterministic re-encoding of diagnosisstring,No,No,Primary phenotype changed from Paper 1's ICD code list to 35 enumerated diagnosisstring paths; unspecified-stroke stays included; APACHE admission diagnosis retained as the single independent cross-check,Pre-analysis (schema inspection only)
B,2026-08-23,"8.3, 14, 20","Cohort feasibility measured: 8,279 patients across 176 hospitals",No,No,Single suggested hospital threshold replaced by a tiered rule; leave-one-hospital-out promoted to the primary Aim 3 analysis,Data-blind (counts and missingness only)
C,2026-08-23,"2.2, 7.4, 10.3, 11.3",Frozen model inspection: the four organ-support flags are the strongest state discriminators and the least transportable variables,No,No,17-variable treatment-free model transported as a prespecified specificity control reported with equal prominence; four-cell interpretation table fixed,Pre-analysis
D,2026-08-23,11,"Review of v1.0, which declined any similarity threshold",No,No,Quantitative thresholds prespecified for the two structural metrics; prevalence kept descriptive; permutation nulls added,Pre-analysis
E,2026-08-23,9.1,"Frozen-parameter export: P(CRRT=1) is effectively zero in three of four states, so a CRRT window would receive zero likelihood",No,No,Categorical emissions floored at 1e-4 and renormalised; verified on MIMIC to leave decoding identical before use,Pre-analysis (MIMIC-side numerical verification)
F,2026-08-23,"7.1, 7.2, 7.3",Variable-by-variable dictionary construction,No,No,Laboratory glucose separated from point-of-care glucose; GCS non-numeric rule stated; the interval-versus-point-event asymmetry named explicitly,Pre-analysis
G,2026-08-23,Whole document,English and Chinese v1.0 found to have diverged structurally after section 10,No,No,Documents merged; English designated normative; Chinese regenerated with matching section numbers,Editorial
H,2026-08-23,"8.2, 8.3, 15, 21","Blind interface-availability audit, no outcome or state information used",No,No,Tier A confirmed; GCS identified as the binding constraint; medication table added as a second drug source; GCS complete-case sensitivity added,Data-blind audit
I,2026-08-23,"8.2, 14, 15, 16",Frozen-parameter verification on MIMIC: the preserved state's gcs_motor emission is a point mass (SD 0.000119) and the discovery imputation median coincides with it,No,No,"Response is measurement, not repair: prevalence split by observed versus imputed GCS; hospital preserved-state prevalence regressed on GCS coverage; GCS complete-case promoted to a co-reported diagnostic; GCS coverage added as an Aim 3 covariate",Pre-analysis (MIMIC-side model inspection)
J,2026-08-23,10.2,"A2 decode collapsed: under eICU scaling the preserved state's own defining value sits 1,256 SD from its emission mean and the state vanishes",Treatment-free control only,No,A2 recorded as not executable on this model and reported as a methodological result rather than deleted as a failed analysis,"Post-assignment (treatment-free control), outcome-blind. The amendment records a deterministic property of the frozen model, not a choice among observed results"
K,2026-08-23,11.2,"The treatment-free transport produced a minimum profile correlation of 0.709, which fell in the 0.60-0.80 band the criteria had left undefined",Treatment-free control only,No,"Resolved by reporting rule rather than by a new threshold: per-state correlations reported descriptively, stating how many states reach the bar and which do not. No third threshold was introduced","Post-assignment (treatment-free control), outcome-blind. THE MOST SENSITIVE AMENDMENT IN THIS LOG: the gap was identified because an observed value fell into it. It was resolved by removing the need for a threshold rather than by choosing one, precisely so that the observed value could not determine the rule"
L,2026-08-23,7.3,Internal inconsistency found in v1.1: the quoted medication-table coverage gain had not applied the continuous-infusion rule stated in the same paragraph,Treatment-free control only,No,Figures corrected from 37.6% and 13.3% to 18.6% and 12.0%; the rule itself was already stated correctly and did not change,Correction of a factual error
M,2026-08-23,"7.2, 7.3, 16",Clinical adjudication of the enumerated free-text term dictionaries returned,Treatment-free control only,No,"Dictionaries frozen as v1.0 (112 drug names, 73 urine sources, 42 ventilation and CRRT terms); medication table retained on construct grounds with an infusionDrug-only sensitivity analysis and per-hospital capture reporting","Clinical adjudication, outcome-blind. The adjudicator saw term frequencies only, never a state assignment or an outcome"
N,2026-08-23,"8.4, 10.3, 21","Hospital respiratory-interface matrix: determinability is unimodal with a median of 25% and a ceiling of 67%, so the interface-present/absent dichotomy the rule assumed does not exist",Treatment-free control only,No,"Ventilation ascertainment resolved at the hospital interface (rule N3). A candidate threshold reproducing the MIMIC ventilation prevalence exactly was REJECTED for having no structural justification, and is recorded as rejected. Ventilation reported as a bracket",Data-blind (interface counts only). The rejected alternative is logged so that it cannot be revisited
O,2026-08-30,"Aim 4 (new), 22","Investigator decision to extend the study from validation of the state structure to one-step-ahead prediction of the next state. Raised after the Aim 1-3 transport, outcome and heterogeneity results were complete and known.",Yes,Yes,"Aim 4 added: predict the state in window t+1 from information through window t. A six-model ladder ordered by information used (persistence null; frozen transition matrix; frozen HMM forward filtering; multinomial logistic; gradient boosting; gradient boosting plus age, sex, subtype and window index). Models requiring fitting are fitted on the MIMIC-IV training split only and frozen before eICU is touched. The primary metric is discrimination for the binary event 'the state differs in the next window', prespecified before any prediction result was computed, because 90.7% of window pairs do not change state and overall accuracy is therefore uninformative.","Post-hoc aim. Transport results were known when this aim was added, and this is the only amendment in the log for which that is true. The frozen parameters are unchanged and the evaluation metric was fixed in advance of computing it, but the aim itself is exploratory and is reported as such."
