variable,term,class,adjudication_note,freeze_date
urine_output_ml,Urine,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,URINE CATHETER,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Urinary Catheter Output: Indwelling/Continuous Ure,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Voided Amount,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Foley,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Foley cath,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Output (mL)-Straight Catheter,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Output (mL)-External Urinary Catheter,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Output (mL)-Urethral Catheter,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Urinary Catheter Output: Straight/Intermittent Ure,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,CONDOM CATHETER OUTPUT,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Output (mL)-External Urethral Device Condom catheter,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Output (mL)-Urethral Catheter Non-latex 16 Fr.,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,foley,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Condom Catheter,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Output (mL)-Urethral Catheter Non-latex 14 Fr.,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Output (mL)-Urethral Catheter Temperature probe 16 Fr.,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Output (mL)-Urethral Catheter 16 Fr.,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,SN Urine Output(ml),include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Straight Catheter Output,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Urinary Catheter Output: Condom External,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Output (mL)-Urethral Catheter Latex 14 Fr.,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Output (mL)-Urethral Catheter Non-latex,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Output (mL)-Urethral Catheter Straight-tip,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Output (mL)-Urethral Catheter Straight-tip 16 Fr.,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Output (mL)-Urethral Catheter Latex 16 Fr.,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Output (mL)-Urethral Catheter Straight-tip 14 Fr.,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Output (mL)-Urethral Catheter Temperature probe 14 Fr.,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Output (mL)-[REMOVED] Straight Catheter,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Urine Output-Foley,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,"Urine, void:",include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Foley Cath,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Output (mL)-Urethral Catheter Latex,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,FOLEY,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Foley catheter,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Output (mL)-Urethral Catheter Double-lumen 16 Fr.,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Output (mL)-Urethral Catheter Temperature probe,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Output Amt-Urinary Catheter,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Urinary Catheter Output: Condom Urethral,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Urine Output (mL)-Urethral Catheter ,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Urine Output-FOLEY,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Urine Output-foley,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Output (mL)-Nephrostomy Left 10 Fr.,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Output (mL)-Nephrostomy Right 10 Fr.,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
urine_output_ml,Output (mL)-Urethral Catheter 14 Fr.,include,Quantitative urinary output source consistent with Paper 1 definition.,2026-08-23
