element,paper1_definition,paper1_source,eicu_source,harmonization_decision,risk
Stroke phenotype (AIS),"ICD-9 43301/43311/43321/43331/43381/43391/43401/43411/43491 or ICD-10 I63*, in diagnosis position seq_num<=3",hosp/diagnoses_icd,"diagnosis.diagnosisstring, 13 enumerated paths under 'neurologic|disorders of vasculature|stroke|ischemic stroke'","Amendment A, approved by the PI 23 Aug 2026: the diagnosisstring path is PRIMARY; ICD codes are descriptive only, because eICU's icd9code is a deterministic re-encoding of the same string and Paper 1's code list would drop eICU's generic 'stroke' label (ICD-9 436). Frozen path list in frozen_phenotype/phenotype_paths_frozen.csv; apacheadmissiondx is the one independent cross-check. Yield 3,198 patients in the final cohort.",The 'perioperative' path (22 stays) is flagged for the pre-specified review-path sensitivity analysis.
Stroke phenotype (ICH),"ICD-9 431 or ICD-10 I61*, seq_num<=3",hosp/diagnoses_icd,"diagnosis.diagnosisstring, 13 enumerated paths under '...|hemorrhagic stroke' excluding the subarachnoid branch","Amendment A, approved by the PI 23 Aug 2026: the diagnosisstring path is PRIMARY; ICD codes are descriptive only, because eICU's icd9code is a deterministic re-encoding of the same string and Paper 1's code list would drop eICU's generic 'stroke' label (ICD-9 436). Frozen path list in frozen_phenotype/phenotype_paths_frozen.csv; apacheadmissiondx is the one independent cross-check. 'transformation of ischemic stroke' contributes BOTH AIS and ICH, as it would in MIMIC via I63+I61; Paper 1's precedence then labels it AIS. Yield 1,736 ICH + 104 ICH+SAH.","'into pre-existent CNS mass' (19) and 'postoperative' (6) are flagged review paths, included in primary."
Stroke phenotype (SAH),"ICD-9 430 or ICD-10 I60*, seq_num<=3",hosp/diagnoses_icd,"diagnosis.diagnosisstring, 6 enumerated paths under '...|hemorrhagic stroke|subarachnoid hemorrhage'","Amendment A, approved by the PI 23 Aug 2026: the diagnosisstring path is PRIMARY; ICD codes are descriptive only, because eICU's icd9code is a deterministic re-encoding of the same string and Paper 1's code list would drop eICU's generic 'stroke' label (ICD-9 436). Frozen path list in frozen_phenotype/phenotype_paths_frozen.csv; apacheadmissiondx is the one independent cross-check. Yield 548 SAH + 104 ICH+SAH.",'with hydrocephalus' and 'with vasospasm' are SAH complications and are included.
TBI exclusion,Exclude any admission also coded ICD-9 800-804/850-854 or ICD-10 S06* in ANY diagnosis position,hosp/diagnoses_icd,diagnosis.diagnosisstring 'neurologic|trauma - CNS' branch; plus 22 enumerated apacheadmissiondx head/face-trauma values; plus the traumatic-SAH path inside the stroke branch,"Three sources, all enumerated. The critical one: '...|hemorrhagic stroke|subarachnoid hemorrhage|traumatic' (48 stays) sits INSIDE the stroke branch, so a prefix match on the stroke path admits it and the trauma-branch exclusion never sees it. The APACHE list is enumerated rather than regex-matched on 'trauma', which would catch cross-reference notes ('...for trauma see Trauma') and limb/chest/abdominal injuries Paper 1 never excluded. Removes 379 stays.","DEVIATION: 34 stroke stays are excluded on a non-intracranial (mostly spinal) CNS-trauma path, which Paper 1's ICD list would not have caught. Quantified and reported."
Adult,age at admission >=18; ages >89 capped at 90 for analysis,patients.anchor_age + year offset,patient.age (string; '> 89' for the oldest patients),"Cast numeric, map '> 89' to 90. This coincidentally matches Paper 1's age-capping rule, so the two age variables are comparable without further adjustment.",None material.
First ICU stay,"First ICU stay of the qualifying stroke admission, one stay per patient","icu/icustays, earliest intime per subject_id",patient.unitvisitnumber = 1 within patienthealthsystemstayid; patients deduplicated on uniquepid,"unitvisitnumber=1 reproduces 'first ICU stay of the admission' directly. For a patient with more than one qualifying hospital stay, eICU's de-identification removes real dates (only hospitaldischargeyear survives), so admissions cannot be ordered in time. DEVIATION, to be stated in Methods: keep the earliest hospitaldischargeyear and break ties on the lowest patienthealthsystemstayid.","A forced deviation from Paper 1, but it affects only the small number of patients with repeat stroke admissions."
ICU LOS >=12 h,"icustays.los >= 0.5 days, guaranteeing >=2 six-hour windows",icu/icustays.los,patient.unitdischargeoffset >= 720 minutes,Direct equivalent.,None.
Time origin / windowing,Windows of 6 h measured from ICU intime; windows 0-11 (first 72 h); a window is materialised only while the patient is still in the ICU,"icustays.intime; obs_end = min(intime+72h, outtime)","All eICU offsets are minutes from unit admission, so window_idx = floor(offset/360), kept where 0<=window_idx<=11","This is the cleanest part of the whole mapping -- eICU's offset design gives the Paper 1 windowing for free. obs_end = min(4320, unitdischargeoffset) minutes; max_valid_window = floor(obs_end/360) clipped at 11. Negative offsets (pre-ICU labs) are dropped, exactly as Paper 1 dropped window_idx<0.","None. Note that eICU offsets are relative to UNIT admission, which is the correct analogue of ICU intime."
ICU mortality,Death between ICU intime and outtime,admissions.deathtime vs icustays.intime/outtime,patient.unitdischargestatus = 'Expired',Direct equivalent and cleaner than the MIMIC construction.,None.
Hospital mortality,hospital_expire_flag,hosp/admissions,patient.hospitaldischargestatus = 'Expired',Direct equivalent.,None.
Post-discharge survival,Date of death used for longer-horizon outcome analysis,patients.dod,NOT AVAILABLE,Cannot be replicated. Aim-1/2/3 outcome gradients in eICU are restricted to ICU and hospital mortality. State this as a limitation up front rather than substituting a different outcome.,Any Paper 1 result that depends on post-discharge death is out of scope for Paper 2.
Hospital-level covariates,Not applicable -- MIMIC-IV is a single centre,n/a,"hospital.numbedscategory, hospital.teachingstatus, hospital.region; patient.unittype",These are the substrate for Aim 3 and have no Paper 1 counterpart. They are what lets Paper 2 be a generalizability study rather than a second validation.,hospitalid is present on patient; region and teaching status have missing values at some sites.
