variable,term,class,adjudication_note,freeze_date
vasoactive_support / sedative,Propofol (mcg/kg/min),sedative,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Propofol (ml/hr),sedative,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Norepinephrine (mcg/min),vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Propofol (),sedative,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Norepinephrine (ml/hr),vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Dexmedetomidine (mcg/kg/hr),sedative,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Phenylephrine (ml/hr),vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,PROPOFOL 10 MG/ML IV EMUL,sedative,Included: explicit continuous/titrate/drip frequency and 86% of orders classified continuous.,2026-08-23
vasoactive_support / sedative,100 ML VIAL : PROPOFOL 10 MG/ML IV EMUL,sedative,Included: explicit continuous/titrate/drip frequency and 80% of orders classified continuous.,2026-08-23
vasoactive_support / sedative,Midazolam (mg/hr),sedative,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,DIPRIVAN,sedative,Included: explicit continuous/titrate/drip frequency and 92% of orders classified continuous.,2026-08-23
vasoactive_support / sedative,Dexmedetomidine (ml/hr),sedative,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Phenylephrine (mcg/min),vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,PHENYLEPHRINE HCL 10 MG/ML IJ SOLN,vasoactive,Included: explicit continuous/titrate/drip frequency and 97% of orders classified continuous.,2026-08-23
vasoactive_support / sedative,Propofol,sedative,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,propofol,sedative,Included: explicit continuous/titrate/drip frequency and 67% of orders classified continuous.,2026-08-23
vasoactive_support / sedative,PROPOFOL INFUSION 10 MG/ML,sedative,Included: explicit continuous/titrate/drip frequency and 100% of orders classified continuous.,2026-08-23
vasoactive_support / sedative,Midazolam (ml/hr),sedative,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,DEXMEDETOMIDINE HCL IN NACL 400 MCG/100ML IV SOLN,sedative,Included: explicit continuous/titrate/drip frequency and 93% of orders classified continuous.,2026-08-23
vasoactive_support / sedative,Norepinephrine (mcg/kg/min),vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Phenylephrine (mcg/kg/min),vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Norepinephrine (),vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,propofol 1% inj,sedative,Included: explicit continuous/titrate/drip frequency and 100% of orders classified continuous.,2026-08-23
vasoactive_support / sedative,PROPOFOL 1000 MG/100 ML,sedative,Included: explicit continuous/titrate/drip frequency and 78% of orders classified continuous.,2026-08-23
vasoactive_support / sedative,Dopamine (mcg/kg/min),vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Propofol 10 MG/ML Inj 10 MG/ML VIAL,sedative,Included: explicit continuous/titrate/drip frequency and 51% of orders classified continuous.,2026-08-23
vasoactive_support / sedative,Volume (ml) Phenylephrine (),vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,100 ML  -  PROPOFOL 10 MG/ML IV EMUL,sedative,Included: explicit continuous/titrate/drip frequency and 100% of orders classified continuous.,2026-08-23
vasoactive_support / sedative,Phenylephrine (),vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,MIDAZOLAM 100 MG/100 ML NS,sedative,Included: explicit continuous/titrate/drip frequency and 87% of orders classified continuous.,2026-08-23
vasoactive_support / sedative,NOREPINEPHRINE 4 MG/250 ML NS,vasoactive,Included: explicit continuous/titrate/drip frequency and 66% of orders classified continuous.,2026-08-23
vasoactive_support / sedative,Vasopressin (units/min),vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,NOREPINEPHRINE BITARTRATE 1 MG/ML IJ SOLN,vasoactive,Included: explicit continuous/titrate/drip frequency and 97% of orders classified continuous.,2026-08-23
vasoactive_support / sedative,PHENYLEPHRINE 10 MG/250 ML NS,vasoactive,Included: explicit continuous/titrate/drip frequency and 52% of orders classified continuous.,2026-08-23
vasoactive_support / sedative,Propofol (Diprivan) 1000 mg  100 ml  Premix (mcg/kg/min),sedative,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,NOREPINEPHRINE 4 MG/250 ML NS INFUSION (STD CON'C) (REPACKAGE),vasoactive,Included: explicit continuous/titrate/drip frequency and 100% of orders classified continuous.,2026-08-23
vasoactive_support / sedative,Dopamine (ml/hr),vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Vasopressin (ml/hr),vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Dobutamine (mcg/kg/min),vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Norepinephrine,vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,PHENYLEPHRINE HCL,vasoactive,Included: explicit continuous/titrate/drip frequency and 81% of orders classified continuous.,2026-08-23
vasoactive_support / sedative,Phenylephrine,vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,NOREPINEPHRINE BITARTRATE 1 MG/ML IV SOLN,vasoactive,Included: explicit continuous/titrate/drip frequency and 98% of orders classified continuous.,2026-08-23
vasoactive_support / sedative,"PROPOFOL IV EMULSION 1,000 MG/100 ML VIAL",sedative,Included: explicit continuous/titrate/drip frequency and 75% of orders classified continuous.,2026-08-23
vasoactive_support / sedative,DEXMEDETOMIDINE HCL IN NACL 200 MCG/50ML IV SOLN,sedative,Included: explicit continuous/titrate/drip frequency and 100% of orders classified continuous.,2026-08-23
vasoactive_support / sedative,NOREPINEPHRINE BITARTRATE 1 MG/ML AMP,vasoactive,Included: explicit continuous/titrate/drip frequency and 100% of orders classified continuous.,2026-08-23
vasoactive_support / sedative,Dobutamine (ml/hr),vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Epinephrine (ml/hr),vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,Midazolam,sedative,infusionDrug source; continuous infusion by construction.,2026-08-23
vasoactive_support / sedative,100 ML NDC : DEXMEDETOMIDINE HCL IN NACL 400 MCG/100ML IV SOLN,sedative,Included: explicit continuous/titrate/drip frequency and 100% of orders classified continuous.,2026-08-23
vasoactive_support / sedative,Norepinephrine STD 4 mg Dextrose 5% 250 ml (mcg/min),vasoactive,infusionDrug source; continuous infusion by construction.,2026-08-23
